id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1076,"POWMEE P10 Kids Stereo Headphones with Microphone for Children Boys Girls,Adjustable 85dB/94dB Volume Control Foldable On-Ear Headphone for School/PC/Cellphone(Blue)",headphones,12.99,4.6,6920,B08BF971WF,https://www.amazon.com/dp/B08BF971WF,https://m.media-amazon.com/images/I/71wZkex49qL._AC_UL320_.jpg,False,0
1077,"Samson Semi Open-Back Studio Reference Headphones, Black, Over Ear (.)",headphones,39.9,4.6,6886,B002LBSEQS,https://www.amazon.com/dp/B002LBSEQS,https://m.media-amazon.com/images/I/715nGARR9UL._AC_UL320_.jpg,False,400
1078,"Razer Kitty Ears for Kraken Headsets: Compatible with Kraken 2019, Kraken TE Headsets - Adjustable Straps - Water Resistant Construction - Neon Purple",headphones,19.99,4.8,6857,B07VH9HPYB,https://www.amazon.com/dp/B07VH9HPYB,https://m.media-amazon.com/images/I/61PcQu16OnL._AC_UL320_.jpg,False,0
1079,"Riwbox CT-7 Cat Ear Kids Bluetooth Headphones, LED Light Up Bluetooth Wireless Over Ear Headphones with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",headphones,32.89,4.6,6767,B07HL1H93Y,https://www.amazon.com/dp/B07HL1H93Y,https://m.media-amazon.com/images/I/71bSniLIIqL._AC_UL320_.jpg,False,0
1080,"Wireless Earbuds Bluetooth Headphones, Bluetooth 5.3 Earbuds with Immersive HiFi Stereo, 2023 New 48Hrs Wireless Ear Buds Over Ear, HD Mic, Comfortable Sport Earhooks, IP7 Waterproof in Ear Earphones",headphones,35.99,4.3,6720,B0BV2DV5T6,https://www.amazon.com/dp/B0BV2DV5T6,https://m.media-amazon.com/images/I/719qqjA4oSL._AC_UL320_.jpg,False,0
1081,"Marshall Major III Bluetooth Wireless On-Ear Headphones, Black - New",headphones,150.0,4.5,6699,B07CDZD8B7,https://www.amazon.com/dp/B07CDZD8B7,https://m.media-amazon.com/images/I/7118TJAtRXL._AC_UL320_.jpg,False,0
1082,"LC-dolida Sleep Mask with Bluetooth Headphones, Floral Sleep Headphones Bluetooth Headband for Sleeping Sports Sleep Mask for Side Sleeper, Best Gift and Travel Essentials",headphones,16.99,4.3,6694,B099ZFP81C,https://www.amazon.com/dp/B099ZFP81C,https://m.media-amazon.com/images/I/7183oLz3b5L._AC_UL320_.jpg,False,0
1083,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Rose Gold",headphones,549.0,4.8,6673,B07NXDPLJ9,https://www.amazon.com/dp/B07NXDPLJ9,https://m.media-amazon.com/images/I/71-UPisBswL._AC_UL320_.jpg,False,0
1084,SoundMAGIC E10 Wired Earphones No Microphone HiFi Stereo Earbuds Noise Isolating in Ear Headphones Powerful Bass Tangle Free Cord Gunmetal,headphones,29.99,4.3,6671,B005HP3OB0,https://www.amazon.com/dp/B005HP3OB0,https://m.media-amazon.com/images/I/61SaaSObDYL._AC_UL320_.jpg,False,0
1085,"TREBLAB Z2 | Over Ear Workout Headphones with Microphone | Bluetooth 5.0, Active Noise Cancelling (ANC) | Up to 35H Battery Life | Wireless Headphones for Sport, Workout, Running, Gym",headphones,89.97,4.3,6642,B0778V7RVR,https://www.amazon.com/dp/B0778V7RVR,https://m.media-amazon.com/images/I/81y+dOAFlJL._AC_UL320_.jpg,False,0
